x_m,y_m,curvature_1_per_m,radius_m,heading_rad
2.512690025321425935e+01,3.569160432508408753e+00,2.293742236325025177e-03,4.359687780795170511e+02,9.101435603103275040e-02
2.536154395348867752e+01,3.590639328244606077e+00,2.278207238982824824e-03,4.389416304578509198e+02,9.155292778612753035e-02
2.559637456456552229e+01,3.612262521257493919e+00,2.265705869767243707e-03,4.413635562072009293e+02,9.208865048441000623e-02
2.583131535919410737e+01,3.634022507936088608e+00,2.256192113116020203e-03,4.432246678758676239e+02,9.262205468291616339e-02
2.606628961012374290e+01,3.655911784669407361e+00,2.249633261966700951e-03,4.445168983346948721e+02,9.315366530179175486e-02
2.630122059010373903e+01,3.677922847846468279e+00,2.246009672947817896e-03,4.452340575575220214e+02,9.368400334755812298e-02
2.653603157188341299e+01,3.700048193856287249e+00,2.245314635736072716e-03,4.453718797731766017e+02,9.421358761525767955e-02
2.677064582821206784e+01,3.722280319087882372e+00,2.247554355059489320e-03,4.449280604711032652e+02,9.474293638116157434e-02
2.700498663183902437e+01,3.744611719930270866e+00,2.252748045437910976e-03,4.439022828252461181e+02,9.527256909764884873e-02
2.723897725551359272e+01,3.767034892772469945e+00,2.260928140370421606e-03,4.422962331903940481e+02,9.580300810192891869e-02
2.747254097198508305e+01,3.789542334003495938e+00,2.272140619339006913e-03,4.401136054206504582e+02,9.633478035048177734e-02
2.770560105400280548e+01,3.812126540012367393e+00,2.286445457734631245e-03,4.373600938597423919e+02,9.686841919143279744e-02
2.793808077431607018e+01,3.834780007188101081e+00,2.303917206664256399e-03,4.340433749561067884e+02,9.740446618757324371e-02
2.816990340567419793e+01,3.857495231919713774e+00,2.324645711606977954e-03,4.301730775605893768e+02,9.794347300338780704e-02
2.840099222082649177e+01,3.880264710596222688e+00,2.348736981101075087e-03,4.257607420696401164e+02,9.848600337027355045e-02
2.863127049252226897e+01,3.903080939606645927e+00,2.376314219114601060e-03,4.208197686805044668e+02,9.903263514514415444e-02
2.886066149351083610e+01,3.925936415339999819e+00,2.407519037541479365e-03,4.153653551255753769e+02,9.958396247882972396e-02
2.908908849654150686e+01,3.948823634185301579e+00,2.442512868444826450e-03,4.094144243492606279e+02,1.001405981121299277e-01
2.931647477436359850e+01,3.971735092531569311e+00,2.481478599323938636e-03,4.029855426810623840e+02,1.007031758190869430e-01
2.954274359972641051e+01,3.994663286767819343e+00,2.524622458912115577e-03,3.960988291417282881e+02,1.012723530190472732e-01
2.976781824537926724e+01,4.017600713283069780e+00,2.572176185940121176e-03,3.887758565941716711e+02,1.018488135814243911e-01
2.999162198407147883e+01,4.040539868466336060e+00,2.624399519070375140e-03,3.810395455163868519e+02,1.024332708498036787e-01
3.021407808855235544e+01,4.063473248706637619e+00,2.681583052996793122e-03,3.729140512289760068e+02,1.030264709152095559e-01
3.043510983157120364e+01,4.086393350392991231e+00,2.744051513729837272e-03,3.644246454545437359e+02,1.036291961720553489e-01
3.065464048587734425e+01,4.109292669914412777e+00,2.812167515609060621e-03,3.555975931197041291e+02,1.042422691946024021e-01
3.087259332422008384e+01,4.132163703659920806e+00,2.886335873929722282e-03,3.464600253325709787e+02,1.048665569767719269e-01
3.108889161934873258e+01,4.154998948018532090e+00,2.967008560634881113e-03,3.370398094793564496e+02,1.055029755840053984e-01
3.130345864401260414e+01,4.177790899379263401e+00,3.054690406803365829e-03,3.273654173833175491e+02,1.061524952727034010e-01
3.151621767096101223e+01,4.200532054131132398e+00,3.149945675271077251e-03,3.174657924581325688e+02,1.068161461407711316e-01
